Nombre de equipo, destino de directiva, subcategoría, GUID de subcategoría, configuración de inclusión, configuración de exclusión, valor de configuración
DESKTOP-8SUML92,Sistema,Objeto de kernel,{0CCE921F-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Uso de privilegio no confidencial,{0CCE9229-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Uso de privilegio confidencial,{0CCE9228-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Otros eventos de uso de privilegio,{0CCE922A-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Finalización del proceso,{0CCE922C-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Eventos de ajuste de derecho de token,{0CCE924A-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Eventos Plug and Play,{0CCE9248-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Eventos de RPC,{0CCE922E-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Actividad DPAPI,{0CCE922D-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Creación del proceso,{0CCE922B-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Cambio de la directiva de autenticación,{0CCE9230-69AE-11D9-BED3-505054503030},Aciertos,,1
DESKTOP-8SUML92,Sistema,Cambio en la directiva de auditoría,{0CCE922F-69AE-11D9-BED3-505054503030},Aciertos,,1
DESKTOP-8SUML92,Sistema,Cambio de la directiva de Plataforma de filtrado,{0CCE9233-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Otros eventos de cambio de directivas,{0CCE9234-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Cambio de la directiva de autorización,{0CCE9231-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Cambio de la directiva del nivel de reglas de MPSSVC,{0CCE9232-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Administración de grupos de distribución,{0CCE9238-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Administración de grupos de aplicaciones,{0CCE9239-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Otros eventos de administración de cuentas,{0CCE923A-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Administración de cuentas de usuario,{0CCE9235-69AE-11D9-BED3-505054503030},Aciertos,,1
DESKTOP-8SUML92,Sistema,Administración de cuentas de equipo,{0CCE9236-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Administración de grupos de seguridad,{0CCE9237-69AE-11D9-BED3-505054503030},Aciertos,,1
DESKTOP-8SUML92,Sistema,Cambios de servicio de directorio,{0CCE923C-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Replicación de servicio de directorio,{0CCE923D-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Replicación de servicio de directorio detallada,{0CCE923E-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Acceso del servicio de directorio,{0CCE923B-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Validación de credenciales,{0CCE923F-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Operaciones de vales de servicio Kerberos,{0CCE9240-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Servicio de autenticación Kerberos,{0CCE9242-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,Sistema,Otros eventos de inicio de sesión de cuentas,{0CCE9241-69AE-11D9-BED3-505054503030},Sin auditoría,,0
DESKTOP-8SUML92,,Opción:CrashOnAuditFail,,Deshabilitado,,0
DESKTOP-8SUML92,,Opción:FullPrivilegeAuditing,,Deshabilitado,,0
DESKTOP-8SUML92,,Opción:AuditBaseObjects,,Deshabilitado,,0
DESKTOP-8SUML92,,Opción:AuditBaseDirectories,,Deshabilitado,,0
DESKTOP-8SUML92,,FileGlobalSacl,,,,
DESKTOP-8SUML92,,RegistryGlobalSacl,,,,
